year_,month_, total_amount ,revenue_growth_perc,,Total_orders,order_cancelling_rate,,,,
2023,1," $56,685.75 ",NULL,,1200,20.83,,Product,total_quantity, total_amount 
2023,2," $40,117.66 ",-29.23,,,,,Chair,562," $195,620.11 "
2023,3," $48,609.37 ",21.17,,Total_quantity_sold,Total_cancelled_order,,Printer,542," $195,612.61 "
2023,4," $27,751.71 ",-42.91,,3535,250,,Laptop,535," $192,126.56 "
2023,5," $63,836.84 ",130.03,,,,,Tablet,497," $186,568.95 "
2023,6," $49,500.19 ",-22.46,,OrderStatus,count_of_order_status,,Monitor,480," $175,651.41 "
2023,7," $42,820.66 ",-13.49,,Cancelled,250,,Desk,508," $167,459.93 "
2023,8," $54,352.14 ",26.93,,Returned,247,,Phone,411," $151,722.39 "
2023,9," $29,526.67 ",-45.68,,Pending,237,,,,
2023,10," $52,607.85 ",78.17,,Shipped,235,,year_,total_amount,revenue_growth_perc
2023,11," $43,079.67 ",-18.11,,Delivered,231,,2023," $552,643.24 ",NULL
2023,12," $43,754.73 ",1.57,,,,,2024," $480,235.87 ",-13.1
2024,1," $38,528.08 ",-11.95,,year_, total_amount ,,2025," $231,882.85 ",-51.71
2024,2," $36,909.57 ",-4.2,,2023," $552,643.24 ",,,,
2024,3," $36,030.90 ",-2.38,,2024," $480,235.87 ",,,ReferralSource,customers_acq
2024,4," $49,613.14 ",37.7,,2025," $231,882.85 ",,,Instagram,259
2024,5," $27,909.11 ",-43.75,,,,,,Email,250
2024,6," $68,068.54 ",143.89,,PaymentMethod,payment_method_usage,,,Google,241
2024,7," $42,963.98 ",-36.88,,Online,258,,,Facebook,228
2024,8," $31,991.07 ",-25.54,,Cash,246,,,Referral,222
2024,9," $39,794.98 ",24.39,,Credit Card,234,,,,
2024,10," $37,226.97 ",-6.45,,Debit Card,232,,,,
2024,11," $32,413.76 ",-12.93,,Gift Card,230,,,,
2024,12," $38,785.77 ",19.66,,,,,,,
2025,1," $29,099.40 ",-24.97,,ShippingAddress,total_orders_delivered,,,,
2025,2," $35,317.55 ",21.37,,533 Main St,8,,,,
2025,3," $39,200.66 ",10.99,,895 Main St,6,,,,
2025,4," $31,821.20 ",-18.82,,696 Main St,5,,,,
2025,5," $43,396.64 ",36.38,,562 Main St,5,,,,
2025,6," $53,047.40 ",22.24,,747 Main St,5,,,,
,,,,,636 Main St,5,,,,
,,,,,740 Main St,5,,,,
,,,,,146 Main St,5,,,,
,,,,,101 Main St,4,,,,
,,,,,385 Main St,4,,,,
